country,mae,rmse,mape,r2,n_samples
Dominican Republic,1.67,1.67,,0.0,65
East Timor,14.29,14.29,,0.0,65
Ecuador,39.8,61.29,89.47,-0.9034,65
Egypt,0.47,0.47,,0.0,65
El Salvador,6.82,10.01,40.36,-24.407,65
Equatorial Guinea,0.95,0.95,,0.0,65
Eritrea,0.02,0.02,,0.0,65
Estonia,2.45,6.67,96.8,-0.7022,73
Eswatini,0.63,0.63,,0.0,65
Ethiopia,1.06,1.44,69.19,-0.3495,65
Europe,7662.25,14950.27,99.01,-0.9326,75
European Union (27),59681.25,87897.73,948.68,-296.147,140
Faroe Islands,23.82,23.82,,0.0,65
Falkland Islands,0.56,0.56,,0.0,65
Fiji,0.29,0.29,,0.0,65
Finland,1.23,1.23,,0.0,65
France,77.6,77.6,,0.0,65
French Guiana,0.89,0.89,,0.0,65
French Polynesia,3.08,8.65,86.66,-0.8766,65
Gabon,0.28,0.28,,0.0,65
Gambia,0.16,0.16,,0.0,65
Georgia,19.73,32.34,88.29,-0.702,65
Germany,58.17,58.17,,0.0,65
Ghana,2.27,3.28,58.6,-3.9816,65
Gibraltar,0.67,0.67,,0.0,65
Greece,1099.13,2245.86,99.72,-1.2343,65
Greenland,0.02,0.02,,0.0,65
Grenada,0.4,0.4,,0.0,65
Guadeloupe,2.82,2.82,,0.0,65
Guam,0.89,0.89,,0.0,65
Guatemala,2.09,2.12,72.94,-8.8482,65
Guernsey,0.13,0.13,,0.0,65
Guinea,0.42,0.42,,0.0,65
Guinea-Bissau,0.97,0.97,,0.0,65
Guyana,9.26,19.26,98.79,-1.319,65
Haiti,1.46,3.83,90.5,-3.4028,65
High-income countries,135248.7,201598.86,1120.38,-726.6628,140
Honduras,1.81,2.71,62.69,-0.3915,65
Hong Kong,0.0,0.0,,1.0,71
Hungary,9.57,21.63,80.31,-0.1006,65
Iceland,11.5,22.23,98.46,-0.985,65
India,108.33,119.22,70.32,-0.6872,73
Indonesia,19.05,22.11,68.13,-0.5438,65
Iran,15.81,15.81,,0.0,65
Iraq,2.54,2.54,,0.0,65
Ireland,230.87,432.73,99.17,-0.9857,65
Isle of Man,3.51,3.51,,0.0,65
Israel,11.93,11.93,,0.0,65
Italy,1720.55,4076.35,97.84,-1.3509,68
Jamaica,10.05,19.5,97.31,-1.0333,65
Japan,36.83,36.83,,0.0,65
Jersey,0.05,0.05,,0.0,65
Jordan,1.4,1.4,,0.0,65
Kazakhstan,3.61,3.61,,0.0,65
Kenya,0.98,1.11,22.48,-11.1372,65
Kiribati,1.19,1.19,,0.0,65
Kosovo,0.95,0.95,,0.0,65
Kuwait,1.21,1.21,,0.0,65
Kyrgyzstan,5.42,5.42,,0.0,65
Laos,0.83,2.84,85.47,-5.4339,65
Latvia,1.33,1.33,,0.0,65
Lebanon,3.28,3.28,,0.0,65
Lesotho,4.31,4.31,,0.0,65
Liberia,0.03,0.03,,0.0,65
Libya,1.02,1.02,,0.0,65
Liechtenstein,0.47,1.14,95.16,-2.0176,65
Lithuania,77.55,186.98,95.57,-1.0823,75
Low-income countries,57.71,90.07,63.28,-17.4337,65
Lower-middle-income countries,26751.34,38947.77,10610.87,-5991.9777,138
Luxembourg,60.86,121.52,99.16,-1.1037,65
Madagascar,1.69,2.12,43.49,-4.394,65
Malawi,0.24,0.24,,0.0,65
Malaysia,644.76,1288.4,98.47,-1.1076,75
Maldives,0.61,0.61,,0.0,65
Mali,0.15,0.27,94.11,-0.1621,65
Malta,39.94,86.23,99.53,-1.2817,65
Marshall Islands,8.09,56.34,93.56,-101.9502,65
Martinique,5.26,5.26,,0.0,65
Mauritania,1.3,1.32,35.41,-6.924,65
Mauritius,15.64,32.81,95.43,-3.0815,65
Mayotte,1.39,1.39,,0.0,65
Mexico,115.64,255.58,97.16,-0.949,65
Micronesia (country),101.42,673.71,99.96,-0.0647,65
Moldova,45.99,137.35,95.59,-0.4355,65
Monaco,0.03,0.03,,0.0,65
Mongolia,2.64,2.75,31.61,-13.8815,65
Montenegro,20.41,20.41,,0.0,65
Montserrat,0.02,0.02,,0.0,65
Morocco,4.21,4.21,,0.0,65
Mozambique,1.41,2.09,51.84,-0.5443,65
Myanmar,15.22,29.54,96.64,-1.5133,65
Namibia,8.22,21.26,85.52,-10.1104,65
Nauru,0.44,0.44,,0.0,65
Nepal,2.11,2.11,,0.0,65
Netherlands,97.55,178.81,92.8,-0.8074,65
New Caledonia,2.32,2.32,,0.0,65
New Zealand,1259.15,2485.43,97.01,-1.4545,72
Nicaragua,1.34,2.27,86.38,-1.0903,65
Niger,0.07,0.23,96.74,-2.5256,65
Nigeria,0.78,0.78,,0.0,65
Niue,0.19,0.19,,0.0,65
North America,442.42,613.27,83.02,-0.5158,65
North Korea,0.0,0.0,,1.0,65
North Macedonia,8.3,22.31,94.9,-0.4146,65
Northern Mariana Islands,5.34,11.82,93.54,-0.2932,65
Norway,128.14,252.25,98.97,-0.7621,65
Oceania,2000.18,6348.77,99.07,-11.1319,72
Oman,0.85,0.85,,0.0,65
Pakistan,4.01,4.01,,0.0,65
Palau,0.46,0.8,93.11,-0.1599,65
Palestine,4.36,4.36,,0.0,65
Panama,13.47,21.96,92.82,-0.5944,65
Papua New Guinea,0.18,0.18,,0.0,65
Paraguay,0.41,0.41,,0.0,65
Peru,22.9,26.33,63.88,-0.8228,65
Philippines,8.25,8.25,,0.0,65
Pitcairn,0.0,0.0,,0.0,65
Poland,197.83,485.43,95.82,-0.4999,65
Portugal,570.08,1081.77,99.43,-1.1972,65
Puerto Rico,1.28,1.28,,0.0,65
Qatar,0.31,0.31,,0.0,65
Reunion,1.41,1.41,,0.0,65
Romania,328.98,877.07,97.79,-0.4939,65
Russia,2243.91,4349.16,99.45,-1.2768,65
Rwanda,0.36,0.81,91.86,-3.8115,65
Saint Barthelemy,0.4,0.4,,0.0,65
Saint Helena,0.05,0.05,,0.0,65
Saint Kitts and Nevis,0.04,0.04,,0.0,65
Saint Lucia,1.23,2.62,70.44,-0.4454,65
Saint Martin (French part),0.38,0.38,,0.0,65
Saint Pierre and Miquelon,0.03,0.03,,0.0,65
Saint Vincent and the Grenadines,0.05,0.05,,0.0,65
Samoa,0.57,0.57,,0.0,65
San Marino,0.14,0.14,,0.0,65
Sao Tome and Principe,0.07,0.07,,0.0,65
Saudi Arabia,1.1,1.1,,0.0,65
Senegal,12.34,50.39,98.27,-1.1513,65
Serbia,2.64,2.64,,0.0,65
Seychelles,7.12,15.06,95.16,-0.727,65
Sierra Leone,4.12,10.48,98.56,-1.8459,65
Singapore,6.17,6.17,,0.0,65
Sint Maarten (Dutch part),0.34,0.34,,0.0,65
Slovakia,8.63,13.24,72.72,-0.5069,65
Slovenia,17.31,34.97,94.07,-0.5015,65
Solomon Islands,5.27,5.27,,0.0,65
Somalia,1.21,1.21,,0.0,65
South Africa,7.73,7.97,85.17,-9.0403,65
South America,263.88,421.77,90.92,-0.307,65
South Korea,50.8,50.8,,0.0,65
South Sudan,0.57,0.57,,0.0,65
Spain,19.87,19.87,,0.0,65
Sri Lanka,1.51,2.17,66.35,-0.3115,65
Sudan,0.29,0.29,,0.0,65
Suriname,1.54,2.93,20.83,-96.1897,65
Sweden,84.47,174.1,98.38,-0.8223,65
Switzerland,122.87,234.44,97.54,-1.6434,65
Syria,0.09,0.09,,0.0,65
Tajikistan,0.18,0.18,,0.0,65
Tanzania,27.04,28.45,654.07,-3339.0542,65
Thailand,543.35,1104.24,99.6,-1.3436,65
Togo,0.09,0.09,,0.0,65
Tokelau,0.01,0.01,,0.0,65
Tonga,1.02,1.48,71.98,-0.6349,65
Trinidad and Tobago,0.44,0.44,,0.0,65
Tunisia,4.28,4.28,,0.0,65
Turkey,24.51,24.51,2352.42,-39654.5555,65
Turkmenistan,0.0,0.0,,1.0,65
Turks and Caicos Islands,1.66,4.06,94.46,-0.6218,65
Tuvalu,0.22,0.22,,0.0,65
Uganda,1.38,1.55,32.01,-31.2321,65
Ukraine,20.62,32.0,65.84,-0.5244,65
United Arab Emirates,0.77,0.77,,0.0,65
United Kingdom,1159.4,2149.18,99.06,-0.9639,65
United States,159.67,159.67,,0.0,65
United States Virgin Islands,0.06,0.06,,0.0,65
Upper-middle-income countries,82936.73,122613.18,1149.86,-979.5192,140
Uruguay,6.39,7.69,61.02,-2.7355,65
Uzbekistan,2.21,2.21,,0.0,65
Vanuatu,0.08,0.08,,0.0,65
Vatican,0.01,0.01,,0.0,65
Venezuela,0.31,0.31,,0.0,65
Vietnam,8.55,8.55,,0.0,65
Wallis and Futuna,2.33,2.33,,0.0,65
Yemen,0.05,0.05,,0.0,65
Zambia,7.34,12.24,63.84,-0.7612,65
Zimbabwe,2.29,5.43,58.17,-13.9312,65
